"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2018-10-18",1121.84,1121.84,1077.09,1087.97,2.0945,1087.97
"2018-10-19",1093.37,1110.36,1087.75,1096.46,1.2676,1096.46
"2018-10-22",1103.06,1112.23,1091,1101.16,1.5142,1101.16
"2018-10-23",1080.89,1107.89,1070,1103.69,1.8487,1103.69
"2018-10-24",1104.25,1106.12,1048.74,1050.71,1.9824,1050.71
"2018-10-25",1071.79,1110.98,1069.55,1095.57,2.5458,1095.57
"2018-10-26",1037.03,1106.53,1034.09,1071.47,4.1876,1071.47
"2018-10-29",1082.47,1097.04,995.83,1020.08,3.8807,1020.08
"2018-10-30",1008.46,1037.49,1000.75,1036.21,3.2127,1036.21
"2018-10-31",1059.81,1091.94,1057,1076.77,2.5298,1076.77
"2018-11-01",1075.8,1083.97,1062.46,1070,1.482,1070
"2018-11-02",1073.73,1082.97,1054.61,1057.79,1.839,1057.79
"2018-11-05",1055,1058.47,1021.24,1040.09,2.4414,1040.09
"2018-11-06",1039.48,1064.34,1038.07,1055.81,1.2333,1055.81
"2018-11-07",1069,1095.46,1065.9,1093.39,2.0584,1093.39
"2018-11-08",1091.38,1093.27,1072.2,1082.4,1.4882,1082.4
"2018-11-09",1073.99,1075.56,1053.11,1066.15,1.3432,1066.15
"2018-11-12",1061.39,1062.12,1031,1038.63,1.4718,1038.63
"2018-11-13",1043.29,1056.6,1031.15,1036.05,1.5137,1036.05
"2018-11-14",1050,1054.56,1031,1043.66,1.5659,1043.66
"2018-11-15",1044.71,1071.85,1031.78,1064.71,1.8361,1064.71
"2018-11-16",1059.41,1067,1048.98,1061.49,1.6581,1061.49
"2018-11-19",1057.2,1060.79,1016.26,1020,1.8586,1020
"2018-11-20",1000,1031.74,996.02,1025.76,2.4491,1025.76
"2018-11-21",1036.76,1048.56,1033.47,1037.61,1.5343,1037.61
"2018-11-23",1030,1037.59,1022.4,1023.88,0.6915,1023.88
"2018-11-26",1038.35,1049.31,1033.91,1048.62,1.9428,1048.62
"2018-11-27",1041,1057.58,1038.49,1044.41,1.8032,1044.41
"2018-11-28",1048.76,1086.84,1035.76,1086.23,2.4754,1086.23
"2018-11-29",1076.08,1094.24,1076,1088.3,1.4689,1088.3
"2018-11-30",1089.07,1095.57,1077.88,1094.43,2.5802,1094.43
"2018-12-03",1123.14,1124.65,1103.67,1106.43,1.9912,1106.43
"2018-12-04",1103.12,1104.42,1049.98,1050.82,2.3452,1050.82
"2018-12-06",1034.26,1071.2,1030.77,1068.73,2.7692,1068.73
"2018-12-07",1060.01,1075.26,1028.5,1036.58,2.1012,1036.58
"2018-12-10",1035.05,1048.45,1023.29,1039.55,1.8077,1039.55
"2018-12-11",1056.49,1060.6,1039.84,1051.75,1.3947,1051.75
"2018-12-12",1068,1081.65,1062.79,1063.68,1.5238,1063.68
"2018-12-13",1068.07,1079.76,1053.93,1061.9,1.3298,1061.9
"2018-12-14",1049.98,1062.6,1040.79,1042.1,1.6866,1042.1
